Field Name,Label,Type,Required,Unique,Picklist Values
DTAG_Upper_Limits_Total_Claim_BU__c,Total Claim (BU),double,False,False,
DTAG_Upper_Limits_Total_Labor_BU__c,Total Labor (BU),double,False,False,
DTAG_Upper_Limits_Total_Other_Costs_BU__c,Total Other Costs (BU),double,False,False,
DTAG_Upper_Limits_Total_Parts_BU__c,Total Parts (BU),double,False,False,
DTAG_Upper_Limits_Towing_BU__c,Towing (BU),double,False,False,
DTAG_Variant_Description__c,Variant Description,string,False,False,
DTAG_Approved_Rejected_Date_Time__c,Approved Rejected Date Time,datetime,False,False,
DTAG_Exchange_Rate_HQ_to_Market_BU__c,Exchange Rate HQ to Market BU,double,False,False,
DTAG_Outlier_Amount_Limits__c,Outlier & Amount Limits,textarea,False,False,
DTAG_For_Upper_LimitsMileageAllowance_BU__c,Mileage Allowance,string,False,False,
DTAG_For_Upper_Limits_Charging_Costs_BU__c,Charging Costs,string,False,False,
DTAG_For_Upper_Limits_Foreign_Labor_BU__c,3rd Party Labor,string,False,False,
DTAG_For_Upper_Limits_Miscellaneous_BU__c,Miscellaneous,string,False,False,
DTAG_For_Upper_Limits_Non_OEM_Parts_BU__c,Non-OEM Parts,string,False,False,
DTAG_For_Upper_Limits_OEM_Parts_BU__c,OEM Parts,string,False,False,
DTAG_For_Upper_Limits_TotalOtherCosts_BU__c,Total Other Costs,string,False,False,
DTAG_For_Upper_Limits_Total_Claim_BU__c,Total Claim,string,False,False,
DTAG_For_Upper_Limits_Total_Labor_BU__c,Total Labor,string,False,False,
DTAG_For_Upper_Limits_Total_Parts_BU__c,Total Parts,string,False,False,
DTAG_For_Upper_Limits_Towing_BU__c,Towing,string,False,False,
DTAG_BU_Sharing__c,Business Unit,string,False,False,
DTAG_Responsibles__c,Responsible,picklist,False,False,None
DTAG_Claim_Source__c,Claim Source,picklist,False,False,"Bulk Upload, Claim API"
DTAG_Claim_Submitting_Account__c,Submitting Account,reference,False,False,
DTAG_Costing_API_Update_Date_Time__c,Costing API Update Date-Time,datetime,False,False,
DTAG_NeedPreApprovalforClaim__c,NeedPreApprovalforClaim,boolean,True,False,
