Id,Name,WOD_2__Units_Of_Measure__c,CurrencyIsoCode,WOD_2__Business_Unit__c,WOD_2__Business_Units__c,WOD_2__Item_Type__c,WOD_2__Major_Part__c,WOD_2__Parent_Product__c,WOD_2__Track_Type__c,WOD_2__Type__c,Business_Units_Text__c,Description_DE__c,Description_EN__c,Description_ES__c,Description_FR__c,Description_HU__c,Description_IT__c,Description_JA__c,Description_NL__c,Description_NO__c,Description_PL__c,Description_TR__c,Is_Active__c,Part_Return_Required__c,Photo_Required__c,Series_Code__c,TWOD_Eligible_for_Discount__c,Warranty_Product_Auto_Number__c,Warranty_Product_Code__c,Wearing_Part__c,KPAD_Number__c,Product_Name__c
a170E0000060TkYQAU,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TE9QAM,Serialzied,Model,KBT-EU,R530,R530,,R530,,R530,,R530,,,R530,TRUE,FALSE,FALSE,2020000140,FALSE,2291,20200,FALSE,20200-00200,2.02E+17
a170E0000060TkZQAU,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TE9QAM,Serialzied,Model,KBT-EU,R630,R630,,R630,,R630,,R630,,,R630,TRUE,FALSE,FALSE,2020000140,FALSE,2292,20200,FALSE,20200-00210,2.02E+17
a170E0000060TkaQAE,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TE9QAM,Serialzied,Model,KBT-EU,R540,R540,R540,R540,,R540,,R540,,R540,R540,TRUE,FALSE,FALSE,2020000140,FALSE,2293,20200,FALSE,20200-00220,2.02E+17
a170E0000060TkbQAE,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TE9QAM,Serialzied,Model,KBT-EU,R640,R640,R640,R640,,R640,,R640,,R640,R640,TRUE,FALSE,FALSE,2020000140,FALSE,2294,20200,FALSE,20200-00230,2.02E+17
a170E0000060TkcQAE,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEAQA2,Serialzied,Model,KBT-EU,Schaufel,Bucket,Cazo,Benne,,Bucket,,Bucket,,Bucket,Bucket,TRUE,FALSE,FALSE,2020000200,FALSE,2295,20200,FALSE,20200-00100,2.02E+17
a170E0000060TkdQAE,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEAQA2,Serialzied,Model,KBT-EU,Pallettengabel,Pallet fork,Horquilla para pallet,Fourches Lve-Palettes,,Pallet fork,,Pallet fork,,Pallet fork,Pallet fork,TRUE,FALSE,FALSE,2020000200,FALSE,2296,20200,FALSE,20200-00200,2.02E+17
a170E0000060TkeQAE,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEAQA2,Serialzied,Model,KBT-EU,Schnellwechsler,Quick coupler,Acoplamiento r pido,Attache rapide,,Quick coupler,,Quick coupler,,Quick coupler,Quick coupler,TRUE,FALSE,FALSE,2020000200,FALSE,2297,20200,FALSE,20200-00300,2.02E+17
a170E0000060TkfQAE,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEAQA2,Serialzied,Model,KBT-EU,Lasthalteventile,Anti-drop safety valve,V lvula de seguridad antica¡da,Clapets de scurit,,Anti-drop safety valve,,Anti-drop safety valve,,Anti-drop safety valve,Anti-drop safety valve,TRUE,FALSE,FALSE,2020000200,FALSE,2298,20200,FALSE,20200-00400,2.02E+17
a170E0000060TkgQAE,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEAQA2,Serialzied,Model,KBT-EU,Sonderfarbe,Special paint,Pintura especial,Peinture spciale,,Special paint,,Special paint,,Special paint,Special paint,TRUE,FALSE,FALSE,2020000200,FALSE,2299,20200,FALSE,20200-00500,2.02E+17
a170E0000060TkhQAE,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEAQA2,Serialzied,Model,KBT-EU,Gebrauchtmaschine,Used machine,M quina usada,Machine d'occasion,,Used machine,,Used machine,,Used machine,Used machine,TRUE,FALSE,FALSE,2020000200,FALSE,2300,20200,FALSE,20200-00600,2.02E+17
a170E0000060TkiQAE,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEAQA2,Serialzied,Model,KBT-EU,Heckbagger,Backhoe,Retroexcavadora,Pelle arrire,,Backhoe,,Backhoe,,Backhoe,Backhoe,TRUE,FALSE,FALSE,2020000200,FALSE,2301,20200,FALSE,20200-00700,2.02E+17
a170E0000060TkjQAE,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEAQA2,Serialzied,Model,KBT-EU,Sonstiges,Others,Otros,Autres,,Others,,Others,,Others,Others,TRUE,FALSE,FALSE,2020000200,FALSE,2302,20200,FALSE,20200-00000,2.02E+17
