Name,WOD_2__Business_Units__c,WOD_2__Standard_Labor_Hour__c,VRM_Resolution_Code__c,VRM_External_Id__c,VRM_Failure_Code__c
Mis-manufactured-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Mis-manufactured-Replace Component-2hr,a83cf0000002qNWAAY
Part Dimensions Incorrect-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Part Dimensions Incorrect-Replace Component-2hr,a83cf0000002qNaAAI
Ultraviolet Degradation-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Ultraviolet Degradation-Replace Component-2hr,a83cf0000002qNzAAI
Signal Weak-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Signal Weak-Replace Component-2hr,a83cf0000002qNuAAI
Electrical Component Failure-Replace Component-2hr,VRM-NA,2.0,a83cf0000002qQjAAI,Electrical Component Failure-Replace Component-2hr,a83cf0000002qNkAAI
Dent in Pipe-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Dent in Pipe-Replace Component-1hr,a83cf0000002qO0AAI
Finish Appearance Faulty-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Finish Appearance Faulty-Replace Component-1hr,a83cf0000002qO1AAI
Flanges not Square-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Flanges not Square-Replace Component-1hr,a83cf0000002qO2AAI
Flanges Out of Time-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Flanges Out of Time-Replace Component-1hr,a83cf0000002qO3AAI
Galvanizing Bare Spots-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Galvanizing Bare Spots-Replace Component-1hr,a83cf0000002qO4AAI
Galvanizing Quality-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Galvanizing Quality-Replace Component-1hr,a83cf0000002qO5AAI
Hitch ball bolt failed-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Hitch ball bolt failed-Replace Component-1hr,a83cf0000002qO6AAI
Hole in Pipe-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Hole in Pipe-Replace Component-1hr,a83cf0000002qO7AAI
Seam Split-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Seam Split-Replace Component-1hr,a83cf0000002qO8AAI
Seam Split-Weld In Field-1hr,VRM-NA,1.0,a83cf0000002qQlAAI,Seam Split-Weld In Field-1hr,a83cf0000002qO8AAI
Galvanizing Excessive-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Galvanizing Excessive-Replace Component-1hr,a83cf0000002qO9AAI
Hole in Pipe-Weld In Field-1hr,VRM-NA,1.0,a83cf0000002qQlAAI,Hole in Pipe-Weld In Field-1hr,a83cf0000002qO7AAI
Weld Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Weld Failure-Replace Component-1hr,a83cf0000002qOAAAY
Weld Failure-Weld In Field-1hr,VRM-NA,1.0,a83cf0000002qQlAAI,Weld Failure-Weld In Field-1hr,a83cf0000002qOAAAY
Weld Missing-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Weld Missing-Replace Component-1hr,a83cf0000002qOBAAY
Weld Missing-Repair Component-1hr,VRM-NA,1.0,a83cf0000002qQmAAI,Weld Missing-Repair Component-1hr,a83cf0000002qOBAAY
Plug Removal-Remove Plugs-2hr,VRM-NA,2.0,a83cf0000002qQnAAI,Plug Removal-Remove Plugs-2hr,a83cf0000002qOCAAY
Communication Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Communication Failure-Replace Component-1hr,a83cf0000002qODAAY
5 Volt Power Supply-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,5 Volt Power Supply-Replace Component-1hr,a83cf0000002qOEAAY
Backlight Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Backlight Failure-Replace Component-1hr,a83cf0000002qOFAAY
Cold Solder Joint-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Cold Solder Joint-Replace Component-1hr,a83cf0000002qOGAAY
Display Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Display Failure-Replace Component-1hr,a83cf0000002qOHAAY
Encoder Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Encoder Failure-Replace Component-1hr,a83cf0000002qOIAAY
External Connection Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,External Connection Failure-Replace Component-1hr,a83cf0000002qOJAAY
Harness Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Harness Failure-Replace Component-1hr,a83cf0000002qOKAAY
Keypad Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Keypad Failure-Replace Component-1hr,a83cf0000002qOLAAY
PCB Cracked-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,PCB Cracked-Replace Component-1hr,a83cf0000002qOMAAY
Percent timer runs at 100% at all times-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Percent timer runs at 100% at all times-Replace Component-1hr,a83cf0000002qONAAY
Pressure Reading Incorrect-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Pressure Reading Incorrect-Replace Component-1hr,a83cf0000002qOOAAY
Relay Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Relay Failure-Replace Component-1hr,a83cf0000002qOPAAY
Screen Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Screen Failure-Replace Component-1hr,a83cf0000002qOQAAY
Trace Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Trace Failure-Replace Component-1hr,a83cf0000002qORAAY
Voltage Display Inconsistent-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Voltage Display Inconsistent-Replace Component-1hr,a83cf0000002qOSAAY
Cable End Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Cable End Failure-Replace Component-1hr,a83cf0000002qOTAAY
Excessive Steering-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Excessive Steering-Replace Component-1.5hr,a83cf0000002qOUAAY
Inconsistent Position-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Inconsistent Position-Replace Component-1hr,a83cf0000002qOVAAY
Incorrect Resistance Reading-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Incorrect Resistance Reading-Replace Component-1hr,a83cf0000002qOWAAY
Resolver Input Error-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Resolver Input Error-Replace Component-1hr,a83cf0000002qOXAAY
Resolver Volts Incorrect-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Resolver Volts Incorrect-Replace Component-1hr,a83cf0000002qOYAAY
Won't Break Safety-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Won't Break Safety-Replace Component-1hr,a83cf0000002qOZAAY
Won't Hold Safety-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Won't Hold Safety-Replace Component-1hr,a83cf0000002qOaAAI
Won't Steer Forward-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Won't Steer Forward-Replace Component-1.5hr,a83cf0000002qObAAI
Won't Steer Reverse-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Won't Steer Reverse-Replace Component-1.5hr,a83cf0000002qOcAAI
Incorrect Resistance Reading-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Incorrect Resistance Reading-Replace Component-1.5hr,a83cf0000002qOWAAY
-12 Volt Power Supply-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,-12 Volt Power Supply-Replace Component-1hr,a83cf0000002qOdAAI
Won't Steer Forward-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Won't Steer Forward-Replace Component-1hr,a83cf0000002qObAAI
Won't Steer Reverse-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Won't Steer Reverse-Replace Component-1hr,a83cf0000002qOcAAI
Factory Wiring Incorrect-Repair Wiring-1hr,VRM-NA,1.0,a83cf0000002qQoAAI,Factory Wiring Incorrect-Repair Wiring-1hr,a83cf0000002qOeAAI
Precision Corner Adjustment-Adjust Span Sensor-1hr,VRM-NA,1.0,a83cf0000002qQpAAI,Precision Corner Adjustment-Adjust Span Sensor-1hr,a83cf0000002qOfAAI
Weld Missing-Weld In Field-1hr,VRM-NA,1.0,a83cf0000002qQlAAI,Weld Missing-Weld In Field-1hr,a83cf0000002qOBAAY
Signal Weak-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Signal Weak-Replace Component-1.5hr,a83cf0000002qNuAAI
Factory Wiring Incorrect-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Factory Wiring Incorrect-Replace Component-1hr,a83cf0000002qOeAAI
Contact Points Damaged-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Contact Points Damaged-Replace Component-1hr,a83cf0000002qOgAAI
Low Pressure Switch Fails Closed-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Low Pressure Switch Fails Closed-Replace Component-1hr,a83cf0000002qOhAAI
Low Pressure Switch Fails Open-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Low Pressure Switch Fails Open-Replace Component-1hr,a83cf0000002qOiAAI
Switch Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Switch Failure-Replace Component-1hr,a83cf0000002qOjAAI
Hose Pulled off-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Hose Pulled off-Replace Component-1hr,a83cf0000002qNwAAI
Hose Split-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Hose Split-Replace Component-1hr,a83cf0000002qNxAAI
Ultraviolet Degradation-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Ultraviolet Degradation-Replace Component-1hr,a83cf0000002qNzAAI
Aluminum Casting Failure-Replace Component-1hr,VRM-NA,1.0,a83cf0000002qQjAAI,Aluminum Casting Failure-Replace Component-1hr,a83cf0000002qOkAAI
Bearing Race Missing-Replace Steering Gearbox-4hr,VRM-NA,4.0,a83cf0000002qQqAAI,Bearing Race Missing-Replace Steering Gearbox-4hr,a83cf0000002qOlAAI
Bull Gear Broken-Replace Steering Gearbox-4hr,VRM-NA,4.0,a83cf0000002qQqAAI,Bull Gear Broken-Replace Steering Gearbox-4hr,a83cf0000002qOmAAI
Case Broken-Replace Steering Gearbox-4hr,VRM-NA,4.0,a83cf0000002qQqAAI,Case Broken-Replace Steering Gearbox-4hr,a83cf0000002qOnAAI
Charred Failure Both Ends-Replace Component-1.5hr,VRM-NA,1.5,a83cf0000002qQjAAI,Charred Failure Both Ends-Replace Component-1.5hr,a83cf0000002qOoAAI
